Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-1546.385	-1904.254	357.87	0.09633201	1.696489	0.5301213
6	-1552.027	-1909.884	357.8571	0.09633201	1.696489	0.5903609
12	-1531.712	-1889.381	357.6691	0.1374773	1.666553	0.7095604
18	-1532.451	-1890.283	357.8316	0.1066147	1.58981	0.7631572
24	-1533.525	-1891.416	357.8914	0.1185487	1.339876	0.9364179
30	-1532.637	-1890.497	357.8594	0.1083132	1.30645	1.044217
36	-1528.482	-1886.333	357.851	0.1083132	1.134498	1.206696
42	-1533.5	-1891.212	357.712	0.1317973	1.304414	1.09803
48	-1566.537	-1924.182	357.6449	0.152448	1.349226	1.049218
54	-1554.951	-1912.807	357.8554	0.122653	1.365425	0.930487
60	-1549.979	-1908.004	358.0251	0.1088824	1.354177	0.8081775
66	-1554.679	-1912.415	357.7353	0.137254	1.374384	0.9889929
72	-1552.382	-1910.163	357.7815	0.1208063	1.661451	0.6199895
78	-1550.161	-1908.211	358.0503	0.08873547	1.409153	0.8156796
84	-1543.2	-1901.269	358.069	0.08873547	1.524308	0.566623
90	-1533.081	-1890.743	357.6614	0.1340941	1.754264	0.4720003
96	-1543.852	-1901.517	357.6651	0.1344584	1.737277	0.5867849
102	-1544.422	-1902.172	357.7499	0.1215118	1.715171	0.5018859
108	-1548.34	-1905.887	357.5471	0.1308702	1.882047	0.4924148
114	-1525.497	-1882.928	357.4303	0.1506126	1.926575	0.4794372
120	-1531.652	-1889.474	357.8225	0.122359	1.626182	0.5854932
126	-1526.793	-1884.842	358.049	0.08820953	1.54167	0.5854932
132	-1517.383	-1875.213	357.8303	0.1267701	1.51876	0.7519095
138	-1530.311	-1888.172	357.8611	0.1185653	1.51876	0.7532747
144	-1512.857	-1870.732	357.8746	0.132627	1.458242	0.7429581
150	-1521.695	-1879.692	357.9972	0.0910723	1.593503	0.5151214
156	-1505.014	-1862.831	357.8168	0.1120244	1.662836	0.6151305
162	-1520.451	-1878.356	357.9049	0.09643762	1.662836	0.5034096
168	-1512.398	-1870.016	357.6175	0.150275	1.660902	0.7283331
174	-1528.885	-1886.637	357.7525	0.1270291	1.613688	0.7237033
180	-1532.902	-1890.463	357.5614	0.1324025	1.853222	0.5697319
186	-1538.399	-1895.907	357.5082	0.1460933	1.853222	0.582506
192	-1518.696	-1876.022	357.3258	0.1602581	1.99545	0.4605748
198	-1521.548	-1879.023	357.4748	0.1494504	1.88631	0.480883
204	-1524.405	-1882.157	357.7525	0.109885	1.752195	0.5603335
210	-1505.962	-1863.828	357.8662	0.1028651	1.668867	0.5538287
216	-1533.171	-1890.969	357.7989	0.1044514	1.731173	0.4581561
222	-1531.84	-1889.507	357.6676	0.1155762	1.818988	0.4701756
228	-1538.08	-1895.64	357.5601	0.1182294	1.909011	0.4364353
234	-1549.827	-1907.439	357.6122	0.1053189	1.909011	0.4358155
240	-1527.243	-1884.83	357.5866	0.1343955	1.825712	0.5450939
246	-1548.754	-1906.377	357.6227	0.112145	1.879518	0.494597
252	-1541.816	-1899.582	357.7665	0.09249136	1.783178	0.3787626
258	-1549.215	-1907.102	357.8862	0.08311782	1.732479	0.4391908
264	-1565.132	-1922.919	357.7868	0.1238352	1.655292	0.5884155
270	-1546.752	-1904.453	357.701	0.1207093	1.760352	0.5607794
276	-1536.24	-1894.034	357.7948	0.09727554	1.760352	0.4358106
282	-1556.315	-1914.221	357.9063	0.1251122	1.334996	0.8973777
288	-1547.005	-1904.891	357.8857	0.1173428	1.450551	0.8198618
294	-1527.348	-1885.296	357.9484	0.1136041	1.463125	0.7350878
300	-1549.393	-1907.311	357.9183	0.09631656	1.630261	0.6059638
306	-1557.267	-1915.314	358.0462	0.07909989	1.597634	0.4752573
312	-1536.691	-1894.536	357.8451	0.09004077	1.732271	0.410335
318	-1538.348	-1895.941	357.593	0.131208	1.817457	0.5997123
324	-1537.983	-1895.941	357.9579	0.0926811	1.618012	0.5665884
330	-1518.406	-1876.151	357.7449	0.1277401	1.675198	0.6095926
336	-1535.814	-1893.385	357.5716	0.1309851	1.839895	0.5990129
342	-1541.671	-1899.342	357.6715	0.1291579	1.364482	1.089171
348	-1545.365	-1903.014	357.6497	0.1540709	1.388259	1.000937
354	-1540.583	-1898.351	357.7675	0.1259976	1.371508	1.001863
360	-1535.118	-1893.033	357.9151	0.1254338	1.371508	0.84262
366	-1536.782	-1894.444	357.6611	0.1371341	1.714456	0.6337726
372	-1542.076	-1899.722	357.6452	0.1371341	1.750138	0.5769369
378	-1552.23	-1909.967	357.7371	0.11841	1.683203	0.6882981
384	-1536.074	-1893.661	357.5871	0.163329	1.651884	0.7197648
390	-1534.574	-1892.303	357.7293	0.1153672	1.363447	1.086153
396	-1536.692	-1894.677	357.9859	0.1023108	1.419154	0.8101639
402	-1536.743	-1894.741	357.9976	0.1023108	1.474246	0.7126647
408	-1538.925	-1896.869	357.9437	0.09203007	1.535833	0.7687629
414	-1539.888	-1897.828	357.9392	0.09203007	1.571006	0.7221373
420	-1538.176	-1896.047	357.871	0.1049086	1.601165	0.6932898
426	-1514.173	-1871.978	357.8049	0.1109405	1.61212	0.7433291
432	-1513.336	-1871.272	357.9369	0.1034053	1.536706	0.7018226
438	-1516.701	-1874.537	357.8362	0.1284176	1.536706	0.7036947
444	-1522.671	-1880.454	357.7834	0.1254576	1.557634	0.7708018
450	-1525.267	-1883.2	357.9331	0.1056891	1.427866	0.8479014
456	-1521.151	-1879.051	357.9002	0.1127732	1.431827	0.8479014
462	-1518.776	-1876.542	357.7662	0.1265174	1.511987	0.8479014
468	-1523.739	-1881.433	357.6934	0.1364429	1.506787	0.8956778
474	-1515.85	-1873.663	357.8131	0.1390577	1.51398	0.7143226
480	-1512.34	-1870.025	357.6847	0.1541	1.585267	0.7204423
486	-1525.634	-1883.456	357.8222	0.1349763	1.516118	0.7204423
492	-1538.394	-1896.307	357.9132	0.1241348	1.502631	0.6531738
498	-1540.744	-1898.623	357.8796	0.1158593	1.463272	0.8189172
504	-1545.528	-1903.474	357.9464	0.1059329	1.333825	0.9385874
510	-1536.078	-1893.713	357.6352	0.1437414	1.451568	0.988375
516	-1541.684	-1899.601	357.9171	0.1165232	1.341828	0.9150958
522	-1540.961	-1899.106	358.1456	0.08447508	1.393625	0.7296898
528	-1545.493	-1903.381	357.8878	0.1030265	1.60564	0.667911
534	-1547.97	-1905.764	357.7941	0.1115169	1.681105	0.6317422
540	-1541.977	-1899.919	357.9417	0.1013406	1.563881	0.6576123
546	-1547.364	-1905.398	358.0341	0.09838512	1.48412	0.6576123
552	-1523.625	-1881.497	357.8722	0.1244811	1.545631	0.6458687
558	-1533.692	-1891.522	357.8294	0.1053086	1.517716	0.8664581
564	-1537.417	-1895.272	357.8549	0.1226683	1.46	0.8205043
570	-1539.388	-1897.336	357.9472	0.09882423	1.46	0.826379
576	-1539.759	-1897.727	357.9686	0.09882423	1.435222	0.8306874
582	-1533.689	-1891.702	358.0133	0.1021713	1.386962	0.8171951
588	-1522.015	-1880.115	358.1	0.08238027	1.386962	0.8171951
594	-1538.011	-1895.877	357.8657	0.1160186	1.523102	0.7550018
600	-1541.265	-1899.256	357.9905	0.09565155	1.493005	0.7395686
606	-1520.658	-1878.68	358.0226	0.09565155	1.438111	0.7731181
612	-1530.809	-1888.776	357.9664	0.1064746	1.506474	0.6799624
618	-1528.577	-1886.37	357.7931	0.1045943	1.718863	0.6103338
624	-1531.372	-1889.45	358.0789	0.0850975	1.518627	0.607339
630	-1546.778	-1904.605	357.8273	0.1099708	1.628988	0.6841226
636	-1529.044	-1886.84	357.7958	0.1273226	1.630203	0.5970138
642	-1544.266	-1902.054	357.7886	0.09787537	1.772243	0.5198457
648	-1550.33	-1908.15	357.8192	0.09070832	1.772243	0.5253244
654	-1544.96	-1902.657	357.6964	0.1098893	1.813857	0.4762671
660	-1539.49	-1897.204	357.7143	0.1098893	1.795923	0.4760455
666	-1530.965	-1888.675	357.7097	0.09114578	1.867927	0.4232825
672	-1549.608	-1907.36	357.7517	0.08418034	1.857099	0.4232825
678	-1548.302	-1906.157	357.8543	0.09784125	1.707198	0.4896644
684	-1562.991	-1920.543	357.5527	0.1343788	1.847849	0.5938678
690	-1542.501	-1900.28	357.779	0.09848382	1.760597	0.6050608
696	-1533.191	-1891.116	357.9245	0.09848382	1.614211	0.6073775
702	-1539.632	-1897.6	357.9676	0.1045728	1.448636	0.782402
708	-1533.053	-1891.011	357.9574	0.1059757	1.459746	0.7730344
714	-1529.008	-1886.927	357.9188	0.1059757	1.498608	0.7726335
720	-1538.908	-1896.417	357.5085	0.134269	1.292122	1.27674
726	-1535.867	-1893.75	357.8829	0.1128862	1.276553	1.032375
732	-1547.94	-1906.009	358.0685	0.09345041	1.347769	0.8439255
738	-1532.252	-1890.272	358.0197	0.09816167	1.523478	0.5983189
744	-1529.247	-1887.07	357.823	0.1030401	1.652178	0.701804
750	-1515.444	-1873.469	358.0244	0.09786734	1.479293	0.6899664
756	-1524.402	-1882.22	357.8182	0.1199707	1.617284	0.6455403
762	-1528.916	-1886.644	357.7278	0.1280565	1.676549	0.6455403
768	-1527.086	-1884.822	357.7358	0.14213	1.562625	0.7422261
774	-1532.007	-1889.756	357.7483	0.1213734	1.488797	0.9181767
780	-1523.026	-1880.898	357.8722	0.1131633	1.505283	0.7873793
786	-1531.122	-1889.221	358.0985	0.09234458	1.457929	0.6304222
792	-1525.91	-1883.77	357.8601	0.1105732	1.61943	0.6304222
798	-1519.892	-1877.593	357.7009	0.1416198	1.659745	0.6304222
804	-1535.617	-1893.339	357.7212	0.1366188	1.622984	0.7003478
810	-1551.48	-1909.246	357.7655	0.1061945	1.756854	0.4553392
816	-1556.298	-1913.98	357.6825	0.1262906	1.757834	0.55842
822	-1546.043	-1903.916	357.8732	0.1097873	1.595468	0.6616697
828	-1531.084	-1889.047	357.9628	0.101552	1.569899	0.5857548
834	-1538.855	-1896.708	357.8534	0.1228689	1.569899	0.6476171
840	-1531.563	-1889.313	357.7501	0.1255743	1.684242	0.5919805
846	-1531.463	-1889.279	357.8164	0.1042681	1.707499	0.5766955
852	-1536.452	-1894.19	357.7376	0.119873	1.714858	0.6039675
858	-1546.555	-1904.217	357.6611	0.1148365	1.792096	0.6513551
864	-1539.389	-1896.988	357.5988	0.1471504	1.524971	0.9373058
870	-1538.242	-1896.074	357.8326	0.1225214	1.469855	0.8369621
876	-1551.095	-1908.906	357.8104	0.1131975	1.536741	0.827107
882	-1541.103	-1898.972	357.869	0.1131975	1.543865	0.7356761
888	-1538.63	-1896.471	357.8412	0.1139251	1.528461	0.7938592
894	-1547.717	-1905.366	357.649	0.1307018	1.663419	0.7830814
900	-1532.427	-1890.138	357.7111	0.1382868	1.495975	0.8800679
906	-1552.322	-1909.978	357.6562	0.1404697	1.566488	0.8521779
912	-1538.977	-1896.768	357.7914	0.1237568	1.495572	0.8500396
918	-1542.982	-1900.817	357.8351	0.1237568	1.497127	0.7921955
924	-1534.46	-1892.321	357.8616	0.1096048	1.526745	0.7921955
930	-1551.293	-1909.203	357.9095	0.1181153	1.479224	0.7426567
936	-1537.954	-1895.737	357.7829	0.1412216	1.479224	0.7987162
942	-1563.49	-1921.31	357.8196	0.1376219	1.494848	0.7428529
948	-1563.354	-1921.191	357.8376	0.1187304	1.494848	0.817678
954	-1542.872	-1900.686	357.8145	0.09816323	1.737502	0.5673804
960	-1525.116	-1882.742	357.6269	0.1261937	1.81988	0.4886549
966	-1523.71	-1881.286	357.5764	0.1234687	1.880919	0.4896933
972	-1528.543	-1886.437	357.894	0.1016662	1.587296	0.7010533
978	-1515.927	-1873.782	357.8544	0.1085295	1.649556	0.5849464
984	-1519.846	-1877.743	357.8961	0.1099116	1.581394	0.6414377
990	-1528.361	-1886.278	357.9168	0.1067266	1.581394	0.6232167
996	-1539.852	-1897.573	357.7218	0.1405452	1.657639	0.5890123
1002	-1530.29	-1888.44	358.1498	0.07493976	1.413817	0.7594161
1008	-1525.713	-1883.781	358.0684	0.09446265	1.406945	0.7594161
1014	-1527.217	-1884.964	357.7473	0.1306825	1.435115	0.9388019
1020	-1524.79	-1882.528	357.738	0.1238357	1.567684	0.8264457
1026	-1527.471	-1885.382	357.9103	0.1224841	1.529743	0.6103153
1032	-1514.877	-1872.932	358.0549	0.1106372	1.338388	0.7796429
1038	-1530.445	-1887.959	357.5147	0.1798065	1.679071	0.7056048
1044	-1531.765	-1889.404	357.6397	0.1394737	1.676191	0.7300906
1050	-1531.32	-1888.995	357.6748	0.1405596	1.688511	0.6331479
1056	-1528.007	-1885.784	357.7769	0.1233359	1.676432	0.549745
1062	-1538.384	-1896.383	357.999	0.09935767	1.55255	0.5440916
1068	-1521.154	-1879.007	357.8533	0.1083137	1.663893	0.4825424
1074	-1529.653	-1887.481	357.8285	0.1055599	1.695846	0.4525151
1080	-1532.206	-1890.015	357.8095	0.1107376	1.695846	0.536943
1086	-1528.941	-1886.659	357.7179	0.1107376	1.78252	0.4412002
1092	-1532.969	-1890.782	357.8126	0.1142635	1.673568	0.4412002
1098	-1533.218	-1890.973	357.7544	0.1199261	1.714599	0.4667753
1104	-1520.39	-1878.291	357.9007	0.09006445	1.690353	0.4539678
1110	-1529.279	-1886.966	357.6875	0.1257853	1.75968	0.5268062
1116	-1529.307	-1887.17	357.8631	0.1027758	1.676705	0.5225282
1122	-1551.808	-1909.44	357.6318	0.0950206	1.912385	0.3878309
1128	-1533.116	-1890.66	357.5438	0.1111255	1.935436	0.3924388
1134	-1525.391	-1882.931	357.5395	0.1125322	1.925398	0.3779624
1140	-1548.272	-1905.841	357.5688	0.1088088	1.925398	0.4032275
1146	-1533.529	-1891.403	357.8744	0.1088088	1.640106	0.525666
1152	-1527.596	-1885.568	357.9712	0.09098245	1.61901	0.525666
1158	-1535.009	-1892.607	357.5984	0.1187298	1.86997	0.4406598
1164	-1536.37	-1893.793	357.4229	0.1479922	1.941516	0.4651403
1170	-1521.629	-1879.064	357.4343	0.1440998	1.944113	0.5354998
1176	-1529.006	-1886.813	357.8071	0.1148932	1.652719	0.6358842
1182	-1542.35	-1900.362	358.0113	0.1148932	1.455737	0.6182064
1188	-1540.214	-1898.092	357.8781	0.1106835	1.597424	0.6389083
